Molecular Formula,rdkit_SMILES,SMILES,chemical name,Molecular Weight
C2H6N2,NN1CC1,NN1CC1,aziridin-1-amine,58.084
C2H6N2,C=C(N)N,NC(N)=C,"ethene-1,1-diamine",58.084
C2H6N2,NC=CN,N\C=C/N,"ethene-1,2-diamine",58.084
C2H6N2,CC=NN,CC=NN,ethylidenehydrazine,58.084
C2H6N2,C=CNN,C=CNN,vinylhydrazine,58.084
C2H2S,C1=CS1,C1=CS1,thiirene,58.098
C4H10,CCCC,CCCC,butane,58.124
C4H10,CC(C)C,CC(C)C,isobutane,58.124
C2H2FN,FC1=CN1,FC1=CN1,2-fluoro-1H-azirine,59.0434
C2H5NO,C1CON1,N1CCO1,"1,2-oxazetidine",59.068
C2H5NO,CC=NO,C/C=N/O,acetaldehyde oxime,59.068
C2H5NO,CC(N)=O,CC(N)=O,acetamide,59.068
C2H5NO,ON1CC1,ON1CC1,aziridin-1-ol,59.068
C2H5NO,CCN=O,O=NCC,nitrosoethane,59.068
C2H5NO,CNC=O,O=CNC,N-methylformamide,59.068
C2H5NO,C=CNO,C=CNO,N-vinylhydroxylamine,59.068
C2H5NO,C=CON,NOC=C,O-vinylhydroxylamine,59.068
CH5N3,NC=NN,N(=C/N)\N,formohydrazonamide,59.072
CH5N3,N=C(N)N,NC(N)=N,guanidine,59.072
CHNS,N#CS,SC#N,thiocyanic acid,59.086
C3H9N,CCNC,CNCC,N-methylethanamine,59.112
C3H9N,CCCN,NCCC,propan-1-amine,59.112
C3H9N,CC(C)N,NC(C)C,propan-2-amine,59.112
C3H9N,CN(C)C,CN(C)C,trimethylamine,59.112
CH5BO2,CB(O)O,B(C)(O)O,methylboronic acid,59.859
C2H6BF,CB(C)F,FB(C)C,fluorodimethylborane,59.8784
C2HFO,FC1=CO1,FC1=CO1,2-fluorooxirene,60.0274
C2H5P,C1CP1,P1CC1,phosphirane,60.0358
C2H5P,C=CP,PC=C,vinylphosphane,60.0358
C2H4O2,C1OCO1,O1COC1,"1,3-dioxetane",60.052
C2H4O2,O=CCO,O=CCO,2-hydroxyacetaldehyde,60.052
C2H4O2,CC(=O)O,OC(C)=O,acetic acid,60.052
C2H4O2,COC=O,O=COC,methyl formate,60.052
CH4N2O,OC1NN1,C1(NN1)O,diaziridin-3-ol,60.056
CH4N2O,NNC=O,NNC=O,formohydrazide,60.056
CH4N2O,NC=NO,C(=N/O)\N,N'-hydroxyformimidamide,60.056
CH4N2O,NCN=O,NCN=O,nitrosomethanamine,60.056
CH4N2O,CNN=O,O=NNC,N-methylnitrous amide,60.056
CH4N2O,NC(N)=O,NC(N)=O,urea,60.056
COS,O=C=S,O=C=S,carbon oxide sulfide,60.07
C3H5F,CC=CF,C(C=CF),1-fluoroprop-1-ene,60.0714
C3H5F,C=C(C)F,C(C(F)=C),2-fluoroprop-1-ene,60.0714
C3H5F,C=CCF,C(F)(C=C),3-fluoroprop-1-ene,60.0714
C3H5F,FC1CC1,C(C1)(C1F),fluorocyclopropane,60.0714
C3H8O,CCOC,COCC,methoxyethane,60.096
C3H8O,CCCO,OCCC,propan-1-ol,60.096
C3H8O,CC(C)O,OC(C)C,propan-2-ol,60.096
C2H8N2,CN(C)N,CN(N)C,"1,1-dimethylhydrazine",60.1
C2H8N2,CNNC,CNNC,"1,2-dimethylhydrazine",60.1
C2H8N2,NCCN,NCCN,"ethane-1,2-diamine",60.1
C2H8N2,CCNN,NNCC,ethylhydrazine,60.1
C2H8N2,CNCN,NCNC,N-methylmethanediamine,60.1
C2H4S,CC=S,CC=S,ethanethial,60.114
C2H4S,C1CS1,C1CS1,thiirane,60.114
C2HCl,C#CCl,C#CCl,chloroethyne,60.48
CH3NO2,NC(=O)O,NC(O)=O,carbamic acid,61.04
CH3NO2,O=CNO,O=CNO,N-hydroxyformamide,61.04
CH3NO2,C[N+](=O)[O-],C[N+]([O-])=O,nitromethane,61.04
C2H4FN,FC1CN1,FC1CN1,2-fluoroaziridine,61.0594
C2H7NO,NCCO,NCC(O),2-aminoethan-1-ol,61.084
C2H7NO,COCN,NCOC,methoxymethanamine,61.084
C2H7NO,CN(C)O,CN(O)C,"N,N-dimethylhydroxylamine",61.084
C2H7NO,CNOC,CNOC,"N,O-dimethylhydroxylamine",61.084
C2H7NO,CCNO,CCNO,N-ethylhydroxylamine,61.084
C2H7NO,CCON,NOCC,O-ethylhydroxylamine,61.084
CH4N2,N=CN,N=CN,formimidamide,44.057
CH3NS,NC=S,S=CN,methanethioamide,61.102
CH3OP,CP=O,O=PC,methyl(oxo)phosphane,62.0078
C2F2,FC#CF,C(F)#C(F),"1,2-difluoroethyne",62.0188
CH2O3,O=COO,C(=O)OO,methaneperoxoic acid,62.024
H2N2O2,N[N+](=O)[O-],N[N+](=O)[O-],nitramide,62.028
C2H3FO,O=CCF,C(=O)C(F),2-fluoroacetaldehyde,62.0434
C2H3FO,FC1CO1,FC1CO1,2-fluorooxirane,62.0434
C2H7P,CPC,CPC,dimethylphosphane,62.0518
C2H7P,CCP,CCP,ethylphosphane,62.0518
C2H6O2,COOC,O(OC)C,(methylperoxy)methane,62.068
C2H6O2,OCCO,OCC(O),"ethane-1,2-diol",62.068
C2H6O2,CCOO,CCOO,hydroperoxyethane,62.068
C2H6O2,COCO,OCOC,methoxymethanol,62.068
CH6N2O,NCNO,ONCN,(hydroxyamino)methanamine,62.072
CH2OS,C=S=O,C=S=O,methylene-lambda4-sulfanone,62.086
C3H7F,CCCF,C(CCF),1-fluoropropane,62.0874
C3H7F,CC(C)F,C(C(F)C),2-fluoropropane,62.0874
C2H6S,CSC,CSC,dimethylsulfane,62.13
C2H6S,CCS,SCC,ethanethiol,62.13
C2H3Cl,C=CCl,C=CCl,chloroethene,62.496
HNO3,O=[N+]([O-])O,O[N+]([O-])=O,nitric acid,63.012
CH5NO2,OCNO,OCNO,(hydroxyamino)methanol,63.056
C2H6FN,CC(N)F,NC(F)(C),1-fluoroethan-1-amine,63.0754
C2H6FN,CNCF,CNC(F),1-fluoro-N-methylmethanamine,63.0754
C2H6FN,NCCF,NC(CF),2-fluoroethan-1-amine,63.0754
CH5NS,CSN,CSN,S-methylthiohydroxylamine,63.118
HO2P,O=PO,O=PO,phosphenous acid,63.9798
CH5OP,COP,POC,methoxyphosphane,64.0238
CH5OP,OCP,OCP,phosphaneylmethanol,64.0238
C2H2F2,C=C(F)F,C=C(F)(F),"1,1-difluoroethene",64.0348
C2H2F2,FC=CF,C(F)=C(F),"1,2-difluoroethene",64.0348
O2S,O=S=O,O=S=O,sulfur dioxide,64.058
C2H5FO,CC(O)F,OC(F)(C),1-fluoroethan-1-ol,64.0594
C2H5FO,OCCF,OC(CF),2-fluoroethan-1-ol,64.0594
C2H5FO,COCF,COC(F),fluoro(methoxy)methane,64.0594
CH5FN2,NNCF,NNC(F),(fluoromethyl)hydrazine,64.0634
C5H4,C#CC1=CC1,C#CC1=CC1,1-ethynylcycloprop-1-ene,64.087
C5H4,C#CC1C=C1,C#CC1C=C1,3-ethynylcycloprop-1-ene,64.087
C5H4,C=C=C=C=C,C=C=C=C=C,"penta-1,2,3,4-tetraene",64.087
C5H4,C#CC=C=C,C=C=CC#C,"penta-1,2-dien-4-yne",64.087
C5H4,C#CC#CC,CC#CC#C,"penta-1,3-diyne",64.087
C5H4,C#CCC#C,C#CCC#C,"penta-1,4-diyne",64.087
C2H5Cl,CCCl,CCCl,chloroethane,64.512
CH4FNO,NOCF,NOCF,O-(fluoromethyl)hydroxylamine,65.0474
C4H3N,[C-]#[N+]C#CC,CC#C[N+]#[C-],1-isocyanoprop-1-yne,65.075
C4H3N,[C-]#[N+]C=C=C,[C-]#[N+]C=C=C,"1-isocyanopropa-1,2-diene",65.075
C4H3N,C#CC1=CN1,C#CC1=CN1,2-ethynyl-1H-azirine,65.075
C4H3N,CC#CC#N,N#CC#CC,but-2-ynenitrile,65.075
C4H3N,C#CCC#N,C#CCC#N,but-3-ynenitrile,65.075
C4H3N,N#CC1C=C1,C1=CC1C#N,cycloprop-2-ene-1-carbonitrile,65.075
CH4ClN,NCCl,NCCl,chloromethanamine,65.5
C2H3BN2,b1cc[nH]n1,B1=NNC=C1,"1H-1,2,3-diazaborole",65.87
C2H3BN2,b1ncc[nH]1,B1=NC=CN1,"1H-1,3,2-diazaborole",65.87
C4H7B,C#CB(C)C,C#CB(C)C,ethynyldimethylborane,65.91
H3O2P,O=[PH2]O,O=[PH2]O,phosphinic acid,65.9958
CH4FP,FCP,PCF,(fluoromethyl)phosphane,66.0152
C2H4F2,CC(F)F,C(C(F)F),"1,1-difluoroethane",66.0508
C2H4F2,FCCF,C(F)(CF),"1,2-difluoroethane",66.0508
C4H2O,C#CC1=CO1,C#CC1=CO1,2-ethynyloxirene,66.059
C3H2N2,N#CC1C=N1,N#CC\1/N=C/1,2H-azirine-2-carbonitrile,66.063
C3H2N2,[C-]#[N+]CC#N,[C-]#[N+]CC#N,2-isocyanoacetonitrile,66.063
C3H2N2,N#CCC#N,N#CCC#N,malononitrile,66.063
CH3FS,FCS,SC(F),fluoromethanethiol,66.0934
C5H6,C=CC1=CC1,C=CC1=CC1,1-vinylcycloprop-1-ene,66.103
C5H6,C#CC(=C)C,C=C(C#C)C,2-methylbut-1-en-3-yne,66.103
C5H6,C=C1C=CC1,C=C1CC=C1,3-methylenecyclobut-1-ene,66.103
C5H6,C=CC1C=C1,C=CC1C=C1,3-vinylcycloprop-1-ene,66.103
C5H6,C1CC2=C1C2,C1(C2)=C2CC1,bicyclo[2.1.0]pent-1(4)-ene,66.103
C5H6,C1=C2CC2C1,C/1C2C\C=C\12,bicyclo[2.1.0]pent-1-ene,66.103
C5H6,C1=C2CCC12,C12=CC1CC2,bicyclo[2.1.0]pent-4-ene,66.103
C5H6,C1=CCC=C1,C1C=CC=C1,"cyclopenta-1,3-diene",66.103
C5H6,C#CC1CC1,C#CC1CC1,ethynylcyclopropane,66.103
C5H6,C=CC#CC,CC#CC=C,pent-1-en-3-yne,66.103
C5H6,C#CCC=C,C=CCC#C,pent-1-en-4-yne,66.103
C5H6,C#CC=CC,CC=CC#C,pent-3-en-1-yne,66.103
C5H6,C=C=CC=C,C=CC=C=C,"penta-1,2,4-triene",66.103
C5H6,C1=CC12CC2,C1=CC12CC2,spiro[2.2]pent-1-ene,66.103
C5H6,C=C=C1CC1,C=C=C1CC1,vinylidenecyclopropane,66.103
CH3ClO,OCCl,OCCl,chloromethanol,66.484
CH3F2N,NC(F)F,NC(F)(F),difluoromethanamine,67.0388
C2HN3,N#CC=[N+]=[N-],[N-]=[N+]=CC#N,2-diazoacetonitrile,67.051
C4H5N,c1cc[nH]c1,N1C=CC=C1,1H-pyrrole,67.091
C4H5N,C#CC1CN1,C#CC1CN1,2-ethynylaziridine,67.091
C4H5N,C=CC1=CN1,C=CC1=CN1,2-vinyl-1H-azirine,67.091
C4H5N,[C-]#[N+]CC=C,C=CC[N+]#[C-],3-isocyanoprop-1-ene,67.091
C4H5N,C1CC2=C1N2,C1(N2)=C2CC1,5-azabicyclo[2.1.0]pent-1(4)-ene,67.091
C4H5N,CC=CC#N,C/C=C\C#N,but-2-enenitrile,67.091
C4H5N,C=CCC#N,N#CCC=C,but-3-enenitrile,67.091
C4H5N,N#CC1CC1,N#CC1CC1,cyclopropanecarbonitrile,67.091
C4H5N,[C-]#[N+]C1CC1,[C-]#[N+]C1CC1,isocyanocyclopropane,67.091
C4H5N,C=C(C)C#N,CC(C#N)=C,methacrylonitrile,67.091
C4H9B,C=CB(C)C,C=CB(C)C,dimethyl(vinyl)borane,67.926
CH2F2O,OC(F)F,OC(F)(F),difluoromethanol,68.0228
C3O2,O=C=C=C=O,O=C=C=C=O,"propa-1,2-diene-1,3-dione",68.031
C2N2O,N#CN=C=O,N#CN=C=O,cyanic isocyanate,68.035
C4HF,C#CC#CF,C#C(C#CF),"1-fluorobuta-1,3-diyne",68.0504
C4H4O,C#COC=C,C#COC=C,(ethynyloxy)ethene,68.075
C4H4O,C#CC1CO1,C#CC1CO1,2-ethynyloxirane,68.075
C4H4O,Cc1cc1=O,O=C\1/C=C/1C,2-methylcycloprop-2-en-1-one,68.075
C4H4O,C1C23CC12O3,O1C23CC13C2,"2-oxatricyclo[1.1.1.0(1,3)]pentane",68.075
C4H4O,C=CC1=CO1,C=CC1=CO1,2-vinyloxirene,68.075
C4H4O,C1CC2=C1O2,C1(O2)=C2CC1,5-oxabicyclo[2.1.0]pent-1(4)-ene,68.075
C4H4O,CC#CC=O,O=CC#CC,but-2-ynal,68.075
C4H4O,C#CC(C)=O,C#CC(C)=O,but-3-yn-2-one,68.075
C4H4O,C#CCC=O,O=CCC#C,but-3-ynal,68.075
C4H4O,CC=C=C=O,O=C=C=CC,"buta-1,2-dien-1-one",68.075
C4H4O,C=C=CC=O,O=CC=C=C,"buta-2,3-dienal",68.075
C4H4O,O=C1C=CC1,C1C=CC1=O,cyclobut-2-en-1-one,68.075
C4H4O,O=CC1=CC1,O=CC=1CC=1,cycloprop-1-ene-1-carbaldehyde,68.075
C4H4O,O=CC1C=C1,O=CC\1/C=C/1,cycloprop-2-ene-1-carbaldehyde,68.075
C4H4O,O=C=C1CC1,O=C=C1CC1,cyclopropylidenemethanone,68.075
C4H4O,c1ccoc1,O1C=CC=C1,furan,68.075
C3H4N2,c1c[nH]cn1,C1=NC=CN1,1H-imidazole,68.079
C3H4N2,c1cn[nH]c1,N1N=CC=C1,1H-pyrazole,68.079
C3H4N2,C=NCC#N,C=NCC#N,2-(methyleneamino)acetonitrile,68.079
C3H4N2,C=C(N)C#N,N#CC(=C)N,2-aminoacrylonitrile,68.079
C3H4N2,N#CC=CN,N#C\C=C\N,3-aminoacrylonitrile,68.079
C3H4N2,C=CC=[N+]=[N-],[N-]=[N+]=CC=C,3-diazoprop-1-ene,68.079
C3H4N2,C1=NC=NC1,C1C=NC=N1,4H-imidazole,68.079
C3H4N2,C1=NN=CC1,C1C=NN=C1,4H-pyrazole,68.079
C3H4N2,N#CN1CC1,N#CN1CC1,aziridine-1-carbonitrile,68.079
C3H4N2,N#CC1CN1,C1C(N1)C#N,aziridine-2-carbonitrile,68.079
C3H4N2,C=CNC#N,C=CNC#N,N-vinylcyanamide,68.079
C5H8,CC1=C(C)C1,CC(C1)=C1C,"1,2-dimethylcycloprop-1-ene",68.119
C5H8,CC1=CC1C,CC1=CC1C,"1,3-dimethylcycloprop-1-ene",68.119
C5H8,CCC1=CC1,CCC1=CC1,1-ethylcycloprop-1-ene,68.119
C5H8,C=C1CC1C,C=C1CC1C,1-methyl-2-methylenecyclopropane,68.119
C5H8,CC12CC1C2,CC12CC2C1,1-methylbicyclo[1.1.0]butane,68.119
C5H8,CC1=CCC1,CC1=CCC1,1-methylcyclobut-1-ene,68.119
C5H8,CC1(C)C=C1,CC1(C)C=C1,"3,3-dimethylcycloprop-1-ene",68.119
C5H8,CCC1C=C1,CCC1C=C1,3-ethylcycloprop-1-ene,68.119
C5H8,C#CC(C)C,CC(C#C)C,3-methylbut-1-yne,68.119
C5H8,C=C=C(C)C,C=C=C(C)C,"3-methylbuta-1,2-diene",68.119
C5H8,CC1C=CC1,CC1CC=C1,3-methylcyclobut-1-ene,68.119
C5H8,C1CC2CC12,C12CC1CC2,bicyclo[2.1.0]pentane,68.119
C5H8,C1=CCCC1,C1CCC=C1,cyclopentene,68.119
C5H8,CC=C1CC1,CC=C1CC1,ethylidenecyclopropane,68.119
C5H8,C=CC(=C)C,C=C(C=C)C,isoprene,68.119
C5H8,C=C1CCC1,C=C1CCC1,methylenecyclobutane,68.119
C5H8,C#CCCC,CCCC#C,pent-1-yne,68.119
C5H8,CC#CCC,CC#CCC,pent-2-yne,68.119
C5H8,C=C=CCC,C=C=CCC,"penta-1,2-diene",68.119
C5H8,C=CC=CC,CC=CC=C,"penta-1,3-diene",68.119
C5H8,C=CCC=C,C=CCC=C,"penta-1,4-diene",68.119
C5H8,CC=C=CC,CC=C=CC,"penta-2,3-diene",68.119
C5H8,C1CC12CC2,C12(CC2)CC1,spiro[2.2]pentane,68.119
C5H8,C=CC1CC1,C=CC1CC1,vinylcyclopropane,68.119
CH2ClF,FCCl,C(Cl)(F),chlorofluoromethane,68.4754
C3H3NO,CC(=O)C#N,N#CC(C)=O,acetyl cyanide,69.063
C3H3NO,C=CN=C=O,O=C=NC=C,isocyanatoethene,69.063
C3H3NO,c1cnoc1,O1N=CC=C1,isoxazole,69.063
C3H3NO,c1cocn1,O1C=NC=C1,oxazole,69.063
C3H3NO,C#CC(N)=O,NC(C#C)=O,propiolamide,69.063
C2H3N3,c1nc[nH]n1,N1N=CN=C1,"1H-1,2,4-triazole",69.067
C2H3N3,c1cn[nH]n1,N1N=CC=N1,"2H-1,2,3-triazole",69.067
C2H3N3,C1=NN=NC1,N=1\N=N/CC=1,"4H-1,2,3-triazole",69.067
C2H3N3,C=CN=[N+]=[N-],[N-]=[N+]=NC=C,azidoethene,69.067
C2H3N3,N#CN=CN,N#C\N=C\N,N'-cyanoformimidamide,69.067
C4H7N,C1CC12CN2,C1C2(CC2)N1,1-azaspiro[2.2]pentane,69.107
C4H7N,[C-]#[N+]CCC,CCC[N+]#[C-],1-isocyanopropane,69.107
C4H7N,C=C1CN1C,C=C1N(C)C1,1-methyl-2-methyleneaziridine,69.107
C4H7N,C=CN1CC1,C=CN1CC1,1-vinylaziridine,69.107
C4H7N,C1=CNCC1,C\1=C\CCN/1,"2,3-dihydro-1H-pyrrole",69.107
C4H7N,CC1=C(C)N1,CC(N1)=C1C,"2,3-dimethyl-1H-azirine",69.107
C4H7N,CC1=NC1C,N\1=C(/C)C/1C,"2,3-dimethyl-2H-azirine",69.107
C4H7N,C1=CCNC1,N1CC=CC1,"2,5-dihydro-1H-pyrrole",69.107
C4H7N,C1C2CC1N2,C1C2CC1N2,2-azabicyclo[1.1.1]pentane,69.107
C4H7N,C1NC2CC12,C12NCC1C2,2-azabicyclo[2.1.0]pentane,69.107
C4H7N,CCC1=CN1,CCC1=CN1,2-ethyl-1H-azirine,69.107
C4H7N,[C-]#[N+]C(C)C,CC([N+]#[C-])C,2-isocyanopropane,69.107
C4H7N,C=CC1CN1,C=CC1CN1,2-vinylaziridine,69.107
C4H7N,C1=NCCC1,C1CC=NC1,"3,4-dihydro-2H-pyrrole",69.107
C4H7N,C1CC2NC12,C1(CC2)C2N1,5-azabicyclo[2.1.0]pentane,69.107
C4H7N,CC#CCN,NCC#CC,but-2-yn-1-amine,69.107
C4H7N,C#CCCN,NCCC#C,but-3-yn-1-amine,69.107
C4H7N,C#CC(C)N,NC(C#C)C,but-3-yn-2-amine,69.107
C4H7N,C=CC=CN,C=C/C=C/N,"buta-1,3-dien-1-amine",69.107
C4H7N,C=CC(=C)N,C=CC(=C)N,"buta-1,3-dien-2-amine",69.107
C4H7N,C=C=CCN,NCC=C=C,"buta-2,3-dien-1-amine",69.107
